COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
"64000",高雄市,"64000020",鼓山區,64000020-026,山下里,"117","52","65","929","470","459","335","147","188",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-027,河邊里,"64","28","36","767","403","364","307","141","166",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-028,綠川里,"110","58","52","952","515","437","351","158","193",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-029,登山里,"20","11","9","400","229","171","187","95","92",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-030,峰南里,"56","38","18","521","281","240","215","88","127",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-031,麗興里,"62","26","36","629","339","290","290","123","167",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-032,新民里,"70","39","31","658","351","307","269","124","145",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-033,延平里,"42","16","26","516","272","244","183","80","103",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-034,維生里,"64","32","32","806","391","415","342","161","181",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-035,惠安里,"77","36","41","739","413","326","320","160","160",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-036,壽山里,"92","60","32","918","494","424","332","132","200",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-037,哨船頭里,"48","26","22","658","354","304","281","128","153",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-038,桃源里,"36","17","19","364","207","157","137","88","49",113Y06M
"64000",高雄市,"64000030",左營區,64000030-001,進學里,"65","34","31","1938","1185","753","693","336","357",113Y06M
"64000",高雄市,"64000030",左營區,64000030-002,尾西里,"38","20","18","690","356","334","264","123","141",113Y06M
"64000",高雄市,"64000030",左營區,64000030-003,頂北里,"24","11","13","352","180","172","159","76","83",113Y06M
"64000",高雄市,"64000030",左營區,64000030-004,中北里,"26","13","13","374","197","177","177","82","95",113Y06M
"64000",高雄市,"64000030",左營區,64000030-005,中南里,"15","6","9","299","175","124","156","79","77",113Y06M
"64000",高雄市,"64000030",左營區,64000030-006,廟東里,"54","28","26","576","311","265","202","97","105",113Y06M
"64000",高雄市,"64000030",左營區,64000030-007,廟北里,"52","27","25","550","308","242","254","105","149",113Y06M
"64000",高雄市,"64000030",左營區,64000030-008,尾南里,"40","22","18","499","250","249","192","87","105",113Y06M
"64000",高雄市,"64000030",左營區,64000030-009,尾北里,"253","115","138","2498","1290","1208","721","310","411",113Y06M
"64000",高雄市,"64000030",左營區,64000030-011,屏山里,"79","36","43","1077","541","536","413","127","286",113Y06M
"64000",高雄市,"64000030",左營區,64000030-012,祥和里,"14","9","5","255","138","117","89","23","66",113Y06M
"64000",高雄市,"64000030",左營區,64000030-013,永清里,"404","205","199","925","461","464","107","46","61",113Y06M
"64000",高雄市,"64000030",左營區,64000030-015,莒光里,"166","92","74","1193","620","573","469","178","291",113Y06M
"64000",高雄市,"64000030",左營區,64000030-016,光輝里,"334","180","154","1756","885","871","696","287","409",113Y06M
"64000",高雄市,"64000030",左營區,64000030-017,合群里,"199","112","87","1698","900","798","850","344","506",113Y06M
"64000",高雄市,"64000030",左營區,64000030-019,明建里,"102","46","56","705","339","366","116","51","65",113Y06M
"64000",高雄市,"64000030",左營區,64000030-021,頂西里,"43","23","20","632","337","295","257","100","157",113Y06M
"64000",高雄市,"64000030",左營區,64000030-022,聖后里,"45","25","20","462","246","216","237","120","117",113Y06M
"64000",高雄市,"64000030",左營區,64000030-023,聖西里,"25","15","10","221","127","94","85","47","38",113Y06M
